"word","ELAINE","FRANK","GEORGE","JERRY","KRAMER","NEWMAN","OTHER","gram","sum"
"beats",1,0,1,2,1,0,4,1,9
"beaujolais",0,0,1,0,1,0,0,1,2
"beautiful",16,3,31,33,12,3,36,1,134
"beauty",3,0,3,4,7,3,2,1,22
"became",1,0,2,4,1,2,7,1,17
"becky",1,0,0,1,1,0,1,1,4
"become",11,0,9,7,4,1,0,1,32
"becomes",0,0,3,2,1,0,2,1,8
"becoming",0,0,0,1,2,1,2,1,6
"bed",6,2,12,14,9,1,16,1,60
"bedroom",4,0,7,5,5,0,7,1,28
"beds",2,0,1,0,2,0,0,1,5
"bee",0,0,1,1,1,0,0,1,3
"beef",3,0,1,1,3,0,4,1,12
"beefareeno",0,0,2,0,2,0,0,1,4
"beep",3,0,6,5,0,0,2,1,16
"beeps",0,0,1,0,1,1,0,1,3
"beer",0,0,0,1,2,1,5,1,9
"bees",0,0,1,1,0,0,0,1,2
"beg",2,0,2,4,6,0,3,1,17
"began",0,0,0,2,0,0,3,1,5
"begged",0,0,0,1,2,0,4,1,7
"begging",2,0,0,2,0,0,0,1,4
"begin",0,1,1,4,1,6,7,1,20
"beginning",0,1,2,0,2,0,2,1,7
"begins",1,1,1,2,2,0,0,1,7
"behavior",1,0,0,2,0,0,6,1,9
"behind",4,0,16,17,9,3,13,1,62
"behold",0,0,0,0,1,0,1,1,2
"believe",64,2,95,132,27,7,71,1,398
"believed",3,0,0,1,1,0,2,1,7
"believes",2,0,0,1,0,0,0,1,3
"bell",0,0,0,0,2,0,3,1,5
"belli",2,0,1,1,0,0,0,1,4
"bells",0,0,0,0,1,0,3,1,4
"belong",2,0,3,3,1,0,0,1,9
"belonged",2,0,2,1,4,0,1,1,10
"belongs",3,0,0,1,2,1,2,1,9
"beloved",0,0,2,1,0,0,0,1,3
"belt",0,0,3,3,1,0,4,1,11
"beltless",0,0,0,1,2,0,1,1,4
"ben",4,0,1,0,0,0,1,1,6
"bench",2,1,5,5,1,0,2,1,16
"bend",0,0,1,2,1,1,1,1,6
"bender",1,0,1,2,0,0,0,1,4
"beneath",0,0,0,0,1,0,1,1,2
"benedict",1,0,0,0,0,0,1,1,2
"benefit",4,0,0,1,1,0,1,1,7
"benes",10,0,1,8,6,0,41,1,66
"bennet",0,0,0,4,0,0,1,1,5
"berg",2,0,0,1,0,0,3,1,6
"bergen",0,0,1,0,1,0,0,1,2
"berkhardt",0,0,0,0,2,0,1,1,3
"berlin",0,0,0,3,0,0,2,1,5
"bernie",1,0,0,0,0,0,1,1,2
"bert",0,0,2,1,0,0,0,1,3
"beside",0,0,0,1,1,0,1,1,3
"besides",1,0,12,9,2,0,8,1,32
"besser",0,0,1,1,0,0,0,1,2
"best",16,3,19,26,13,0,51,1,128
"bet",12,4,10,25,10,1,19,1,81
"betcha",0,0,0,1,1,0,0,1,2
"beth",10,0,1,8,0,0,2,1,21
"betray",0,0,0,0,1,0,1,1,2
"betrayed",1,0,3,0,0,0,3,1,7
"betsy",0,0,2,1,0,0,3,1,6
"bette",0,0,1,2,7,0,5,1,15
"better",42,1,49,82,50,3,86,1,313
"betting",0,0,0,1,2,0,2,1,5
"bevilacqua",0,0,0,3,0,0,1,1,4
"beyond",0,0,4,5,0,0,0,1,9
"bhatt",1,0,1,1,0,0,3,1,6
"bidding",3,0,0,1,0,0,0,1,4
"biff",0,0,1,7,0,0,1,1,9
"big",69,2,92,109,73,5,103,1,453
"bigger",1,1,3,5,0,0,3,1,13
"biggest",0,1,5,4,3,0,1,1,14
"bike",36,0,0,9,5,0,5,1,55
"bikes",0,0,0,0,0,4,1,1,5
"bill",1,0,5,15,2,0,9,1,32
"billiard",0,2,1,0,2,0,0,1,5
"bills",1,0,2,2,0,2,2,1,9
"billy",2,0,0,2,2,0,7,1,13
"bimbo",1,0,0,1,0,0,0,1,2
"bin",0,0,2,0,0,0,1,1,3
"binaca",1,0,0,2,0,0,1,1,4
"binding",0,0,1,1,0,0,0,1,2
"bingo",0,0,0,0,1,0,1,1,2
"biography",2,0,1,1,0,0,0,1,4
"biohazard",1,0,0,1,0,0,0,1,2
"biologist",0,0,2,1,0,0,2,1,5
"biology",0,0,0,1,1,0,0,1,2
"biopsy",0,0,2,0,0,0,2,1,4
"biosphere",0,0,1,1,0,0,1,1,3
"bird",2,0,0,2,1,1,6,1,12
"birds",1,0,1,2,3,0,0,1,7
"birth",2,0,4,1,2,0,2,1,11
"birthday",2,0,9,15,10,1,18,1,55
"birthdays",2,0,2,1,0,0,0,1,5
"biscayne",0,0,0,1,0,0,3,1,4
"bisque",0,0,2,5,0,0,0,1,7
"bisquik",0,0,0,4,1,0,0,1,5
"bit",12,1,18,21,11,2,34,1,99
